ID, Title, Author, Year, Format, File
1, Alasan Untuk Tetap Hidup, Matt Haig, 2018, PDF, Alasan-Untuk-Tetap-Hidup.pdf
2, Filosofi Teras, Henry Manampiring, 2019, PDF, Filosofi-Teras.pdf
3, Funiculi Funicula, Toshikazu Kawaguchi, 2021, PDF, Funiculi-Funicula.pdf
4, Percy Jackson The Olympians The Lightning Thief, Rick Riordan, 2006, PDF, Percy-Jackson-the-Olympians-The-Lightning-Thief.pdf
5, Percy Jackson The Olympians The Sea Of Monsters, Rick Riordan, 2007, PDF, Percy-Jackson-the-Olympians-The-Sea-of-Monsters.pdf
6, Percy Jackson The Olympians The Titans Curse, Rick Riordan, 2007, PDF, Percy-Jackson-the-Olympians-The-Titans-Curse.pdf
7, Percy Jackson The Olympians The Battle Of The Labyrinth, Rick Riordan, 2007, PDF, Percy-Jackson-the-Olympians-The-Battle-of-the-Labyrinth.pdf
8, Percy Jackson The Olympians The Last Olympian, Rick Riordan, 2009, PDF, Percy-Jackson-the-Olympians-The-Last-Olympian.pdf
9, Sisi Tergelap Surga, Brian Khrisna, 2023, PDF, Sisi-Tergelap-Surga.pdf
10, Two American Boys with the Dardanelles Battle Fleet, Sherman Crockett, 2020, PDF, Two-American-Boys-with-the-Dardanelles-Battle-Fleet.pdf
11, Ringkasan Materi, Muhammad Farrel Althaf, 2025, PDF, Ringkasan-Materi-Muhammad-Farrel-Althaf.pdf
12, Biodata, Muhammad Farrel Althaf, 2025, HTML, halaman1.html
